iqr_pct_of_median,median_ext_frac,n_excluded,n_used,p50,p75,p90,p95,r_ext_vs_straightness,recording,seconds
43.9,0.0823,30,30,906.4,970.5,1015.9,1097.3,-0.231,41921_cop1367,14.7
25.8,0.0624,48,12,920.6,1055.7,1076.7,1111.1,-0.22,41921_cop1553,13.4
45.7,0.0609,41,19,599.6,785.6,916.9,1123.6,0.092,42821_AG406,13.3
21.1,0.0605,49,11,842.6,998.7,1086.6,1101.0,-0.021,5121_AG405,12.9
22.6,0.0769,31,29,727.9,815.4,1015.3,1033.2,-0.192,5521_cop1524,13.8
,,56,2,,,,,,52021_AG405 food density,
