recording,n_measured,n_enclosed,n_sampled,length_median,length_p10,length_p90,width_median,aspect_median,enclosed_fraction,um_per_px,seconds
41921_cop1367,30,24,30,807.4,534.2,938.6,39.8,19.4,0.8,1.362,5.1
41921_cop1553,30,11,30,701.8,453.3,1136.5,40.8,16.4,0.367,1.567,5.3
42821_AG406,30,20,30,564.4,392.1,934.2,38.7,13.2,0.667,1.949,5.1
5121_AG405,30,15,30,996.7,499.7,1210.5,35.6,26.3,0.5,1.104,5.3
5521_cop1524,30,24,30,739.3,438.7,936.2,41.2,18.4,0.8,1.488,5.1
52021_AG405 food density,30,9,30,586.9,291.6,1526.1,27.6,20.9,0.3,1.874,5.3
