"imaging_files","direct_files","path"
"102","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180316_HKK22_CB6%D3\100x"
"101","10","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\Basal calcium quantification\Old Dataset Martin's scope"
"101","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180315_HKK5_CB6%D1_100x"
"101","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180315_HKK5_CB6%D1_100x"
"100","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230224_AVG60_swim"
"100","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240212_Unc-62\W7"
"100","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240213_L4440\W1"
"99","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg Hatching Time\BZ33"
"98","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Chs-1 RNAi- Hatching Time\BZ33 _Chs-1"
"98","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240213_Unc-62\W1"
"98","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180315_HKK22_CB6%D1_100x"
"98","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180315_HKK22_CB6%D1_100x"
"96","1","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg Retention\Data Set 1"
"96","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180319_HKK22larvalout_CB6%"
"96","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm7"
"95","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG6 and ZW495\230415"
"95","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG6 and ZW495"
"94","48","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171101_HKK22_ISD1_100x\worm 1"
"94","3","L:\02_Duchenne Muscular Dystrophy\Mackenzie\1) CONFOCAL"
"94","48","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171101_HKK22_ISD1_100x\worm 1"
"94","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180321_HKK22_CB3%D3\100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171030_HKK22_CB3pc_D5_100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\180221_HKK22_CD5_100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221031 Pdys 1B"
"93","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\180221_HKK22_CD5_100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180221_HKK22_CD5_100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180221_HKK22_CD5_100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171030_HKK22_CB3pc_D5_100x"
"93","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\180221_HKK22_CD5_100x"
"92","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171030_HKK22_CB3pc_D5_100x"
"92","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\171030_HKK22_CB3pc_D5_100x"
"92","0","L:\02_Duchenne Muscular Dystrophy\Danny\4_Cloning\SnapGene_NoGood\Document\FeaturesView"
"92","46","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171101_HKK22_ISD1_100x\worm 2"
"92","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\VG01(AVG7)\011119_VG01"
"92","46","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171101_HKK22_ISD1_100x\worm 2"
"92","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171030_HKK22_CB3pc_D5_100x"
"91","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\Zeiss"
"90","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\R03"
"90","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\R01"
"90","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180214_HKK22_LarvalBurrow"
"90","0","L:\02_Duchenne Muscular Dystrophy\Danny\4_Cloning\SnapGene_NoGood\Document\FeaturesView\directionalityIcons"
"89","0","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\Adult day 1"
"89","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\ZW495\Data Set 2"
"88","0","L:\02_Duchenne Muscular Dystrophy\Adina\Adina_branching paper\branch count\Swimming two-generation N2 day1"
"87","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\081618_HKK22_antigfp\worm 2"
"86","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\ZW495\Data Set 1"
"86","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Danny L1 Brightness Chs1 RNAi\OLD L1 Brightness- Chs-1 RNAi"
"85","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\R03"
"85","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Chs-1 RNAi- Hatching Time\N2_Chs-1"
"84","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Chs-1 RNAi- Hatching Time\N2_L4440"
"84","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Egg project\Figures"
"83","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\112318_N2_CD5_20x muscle size"
"83","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112318_N2_CD5_20x muscle size"
"83","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 2\Muscles\L4440\240903"
"83","0","L:\03_Magnetic Transduction\'tope\Thermo\4-22-25"
"82","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\bad dataset"
"82","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Chs-1 RNAi- Hatching Time\BZ33_L4440"
"82","0","L:\02_Duchenne Muscular Dystrophy\Adina\Adina_branching paper\branch count\Crawling two-generation N2 day1"
"82","1","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5\worm 10"
"82","1","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5\worm 10"
"82","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\dataset 2"
"81","1","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\R02"
"81","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221103 Pdys 1B"
"81","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG6 and ZW495\230415\Before swim test"
"81","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\New L1 Brightness"
"81","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg Hatching Time\N2"
"81","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\Steroids\myoblasts\R01"
"80","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\R05"
"80","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\R04"
"80","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240212_Unc-62\W5"
"80","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\R04"
"80","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 4 5 6"
"80","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 3 5"
"80","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\ortho"
"79","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\ZW495\Early timepoints"
"78","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221109 Pdys 1BFG"
"78","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240212_Unc-62\W10"
"78","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240213_Unc-62\W3"
"77","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221026 Pdys 1 BFG (2)"
"77","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi Ion Transport Genes\mca-2\dataset 4"
"77","4","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\AndresDys1-8-26-14\JPS 518 - crawling"
"76","1","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230227_AVG60_swim\W1A1_m3"
"76","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\dataset 6"
"76","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Force Generating Genes\Cmd-1"
"75","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\2_mua-3 paper\fail datasets\R01"
"75","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 2\Muscles\L4440\240903"
"74","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\Steroids\myoblasts\R02"
"74","4","L:\02_Duchenne Muscular Dystrophy\Adina\Dys expression_need to download\dys-1 isoform images\Poster figures"
"74","0","L:\02_Duchenne Muscular Dystrophy\Danny\4_Cloning\SnapGene_NoGood\Document\PrimersView"
"74","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\dataset 5"
"73","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg 3-Fold Brightness\Data Set 5"
"73","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221108 Pdys 1B"
"73","1","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5\worm 2"
"73","1","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5\worm 2"
"72","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\PMCA IF myoblasts\R03"
"72","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\PMCA IF myoblasts\R04"
"72","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\PMCA IF myoblasts\R05"
"72","2","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 21\bottom muscle 21"
"72","2","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 21\top muscle 21"
"72","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\PMCA IF myoblasts\R02"
"72","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180115_HKK22_ISD5_100x"
"72","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180115_HKK22_ISD5_100x\worm 1"
"72","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180115_HKK22_ISD5_100x"
"72","0","L:\02_Duchenne Muscular Dystrophy\Danny\4_Cloning\SnapGene_NoGood\Document\PrimersView\directionalityIcons"
"72","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\12) Practice Recordings\AVG77 RECORDINGS - OLD\AVG77\OLD\AVG77 DAY 3"
"72","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180115_HKK22_ISD5_100x\worm 1"
"71","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171128_HKK5_CB3%D5_100x\w1"
"71","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171128_HKK5_CB3%D5_100x\w2"
"71","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\171128_HKK5_CB3%D5_100x\w1"
"71","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\dataset 4"
"71","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\2_mua-3 paper\fail datasets\R01\brightness"
"71","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171128_HKK5_CB3%D5_100x\w1"
"71","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171128_HKK5_CB3%D5_100x\w1"
"71","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180108_HKK5_ISD3_100x\worm 3"
"71","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180108_HKK5_ISD3_100x\worm 3"
"71","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171128_HKK5_CB3%D5_100x\w2"
"71","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171128_HKK5_CB3%D5_100x\w1"
"70","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\R05"
"70","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240212_Unc-62\W4"
"70","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\FACS sorting"
"70","6","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171030_HKK22_CB3pcD5"
"70","6","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171030_HKK22_CB3pcD5"
"69","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\ZW495\Data Set 3"
"69","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope\221027 Pdys 1 B"
"69","46","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\Andres 12-10-14 pics\Plates 8,9,10\Image 37 tail"
"69","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL 1 - done"
"68","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Force Generating Genes\sgn-1"
"68","0","L:\02_Duchenne Muscular Dystrophy\Adina\Adina_branching paper\branch count\Crawling BZ33 day5"
"68","0","L:\03_Magnetic Transduction\Raw Data\JEB behavior recordings\Behavioral Analysis Videos\MAGNETIC"
"68","0","L:\03_Magnetic Transduction\Aalimah\Aalimah pics"
"67","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Ion Movement Genes\sca-1"
"67","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Force Generating Genes\dyb-1"
"67","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\ZW495\Data Set 4"
"67","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\VG01(AVG7)\021319_VG01_timed"
"67","43","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\Burrowing muscle size\91018_N2_CBD5_phalloidin\w2"
"67","5","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\AndresDys1-8-26-14\JPS 518 - burrowing 1"
"66","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\ZW495\Data Set 5"
"66","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171113_HKK5_IBD5_100x\w2"
"66","2","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 20"
"66","0","L:\02_Duchenne Muscular Dystrophy\Adina\IBU\230425\pics after"
"66","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180111_HKK5_IBD1_100x\w1"
"66","0","L:\03_Magnetic Transduction\'tope\Thermo\4-25-25"
"66","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180111_HKK5_IBD1_100x\w1"
"66","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171113_HKK5_IBD5_100x\w2"
"65","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL 7"
"65","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Force Generating Genes\lam-1"
"65","1","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\DMD shRNA"
"65","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171110_HKK5_ISD5_100x\w2"
"65","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180109_HKK5_CB1%D1_100x\w3"
"65","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171110_HKK5_ISD5_100x\w2"
"65","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180109_HKK5_CB1%D1_100x\w3"
"64","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5\worm 13"
"64","40","L:\02_Duchenne Muscular Dystrophy\Raw Data\Anjelica\Larval\ZW495_CrawlCa2"
"64","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5\worm 13"
"64","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi Ion Transport Genes\mca-2\dataset 1"
"64","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\171128_HKK5_CB3%D5_100x\w2"
"64","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171110_HKK5_ISD5_100x\w1"
"64","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171128_HKK5_CB3%D5_100x\w2"
"64","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180113_HKK5_ISD5_100x\worm 2"
"64","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171110_HKK5_ISD5_100x\w1"
"64","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171128_HKK5_CB3%D5_100x\w2"
"64","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180113_HKK5_ISD5_100x\worm 2"
"63","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171128_HKK5_CB3%D5_100x\w3"
"63","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171128_HKK5_CB3%D5_100x\w3"
"63","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171128_HKK5_CB3%D5_100x\w3"
"63","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\171128_HKK5_CB3%D5_100x\w3"
"63","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\fails\fail 1"
"63","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\fails\fail 2"
"63","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Ion Movement Genes\Slo-1"
"63","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171128_HKK5_CB3%D5_100x\w3"
"63","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\AVG6\22719_AVG6_HA"
"63","0","L:\03_Magnetic Transduction\Manuscripts"
"63","42","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\Andres 12-10-14 pics\Plates 8,9,10\Image 35 tail"
"63","42","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\2015_June\Andres 11-12-14 confocal\1 - worm2"
"63","42","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\2015_June\Andres 11-12-14 confocal\1 - worm3"
"63","42","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\Andres 12-10-14 pics\Plates 8,9,10\Image 33 tail"
"62","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\AVG6\Data Set 1"
"62","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness\dataset 1"
"62","1","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230225_AVG60_swim\W4A1_m3"
"62","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240213_Unc-62\W4"
"62","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180109_HKK5_CB1%D1_100x\w2"
"62","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180111_HKK5_IBD1_100x\w2"
"62","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180109_HKK5_CB1%D1_100x\w2"
"62","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180111_HKK5_IBD1_100x\w2"
"61","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\2_mua-3 paper\fail datasets\R02\brightness"
"61","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\RNAi_ AVG6\Force Generating Genes\dgn-1"
"61","30","L:\02_Duchenne Muscular Dystrophy\Erinda\OP50 2-20-23 Swiming\Pred BZ 2 T = 1"
"61","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\2_mua-3 paper\fail datasets\R02"
"60","40","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\2015_June\Andres 11-12-14 confocal\1 - worm4"
"60","40","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\2015_June\Andres 11-12-14 confocal\1 - worm6"
"60","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180315_HKK22_CB3%D1_100x\w1"
"60","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\Basal calcium quantification\myoblasts\R01"
"60","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180111_HKK5_CSD3_100x\worm 2"
"60","40","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\Andres 12-10-14 pics\Plates 8,9,10\Image 31 tail"
"60","0","L:\03_Magnetic Transduction\Aalimah\240815_MTX_intestine GFP\Mars Gen 0 Rerun"
"60","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 7"
"60","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\VG01(AVG7)\022019_VG01"
"60","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180111_HKK5_CSD3_100x\worm 2"
"60","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180315_HKK22_CB3%D1_100x\w1"
"59","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5\worm 5"
"59","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171113_HKK5_IBD5_100x\w1"
"59","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5\worm 5"
"59","12","L:\02_Duchenne Muscular Dystrophy\Adina\GCaMP_need to download"
"59","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Brightness vs Movement\AVG6\Data Set 4"
"59","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180111_HKK5_CSD3_100x\worm 3"
"59","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180113_HKK5_ISD5_100x\worm 1"
"59","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171113_HKK5_IBD5_100x\w1"
"59","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180111_HKK5_CSD3_100x\worm 3"
"59","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180113_HKK5_ISD5_100x\worm 1"
"58","2","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240212_L4440\W11"
"58","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171110_HKK5_ISD5_100x\w3"
"58","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171113_HKK5_IBD5_100x\w3"
"58","1","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230227_AVG60\W45_m3"
"58","2","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 22\muscle 22 bottom"
"58","2","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation\muscle 22\muscle 22 top"
