"imaging_files","direct_files","path"
"454","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\fails"
"444","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\PMCA IF myoblasts"
"441","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230225_AVG60_swim"
"430","4","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\Basal calcium quantification"
"427","25","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\170811_HKK5_CD5"
"427","25","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\170811_HKK5_CD5"
"399","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\AVG6\22319_AVG6"
"392","13","L:\03_Magnetic Transduction\Aalimah\240815_MTX_intestine GFP\Iron chelation"
"384","12","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240312_AVG60_pezo-1"
"383","8","L:\02_Duchenne Muscular Dystrophy\Adina\Adina_branching paper"
"380","10","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\230529_AVG60_tail_crawl"
"380","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\Tissue dissociation\240126_AVG60_crawl_tissue dissociation"
"361","0","L:\02_Duchenne Muscular Dystrophy\Adina\Adina_branching paper\branch count"
"360","0","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\Larva 4"
"356","0","L:\02_Duchenne Muscular Dystrophy\Adina\TF RNAi\dys-1 exprssn in midbody muscles Unc-62 RNAi\240213_Unc-62"
"351","2","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Chs-1 RNAi- Hatching Time"
"345","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\Andres 12-10-14 pics\Plates 8,9,10"
"342","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm8"
"339","1","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\Figures for pezo-1 draft\Figure 1 PEZO localization"
"325","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\Basal calcium quantification\myoblasts"
