deposit_manifest_name,copies_found,bytes,identity_basis,paths
240607_N2_crawl_day1A_mid and tail.lif,1,11925578967,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_N2_crawl_day1A_mid and tail.lif
240607_N2_crawl_day1A_tail_phall.lif,1,12850180349,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_N2_crawl_day1A_tail_phall.lif
240607_N2_crawl_day1A_tail_phalloidin.lif,1,10362777167,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_N2_crawl_day1A_tail_phalloidin.lif
240618_N2_day5A_crawl_phall.lif,1,5594389157,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_N2_day5A_crawl_phall.lif
240618_BZ33_day5A_crawl_phall_1.lif,1,12937637141,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_1.lif
240618_BZ33_day5A_crawl_phall_2.lif,1,13645057769,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_2.lif
240618_BZ33_day5A_crawl_phall_3.lif,1,13226673337,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_3.lif
240618_BZ33_day5A_crawl_phall_4.lif,1,14008102319,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_4.lif
240618_BZ33_day5A_crawl_phall_5.lif,1,8022612535,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_5.lif
240619_BZ33_day5A_crawl_phall_6.lif,1,16677370709,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_6.lif
240619_BZ33_day5A_crawl_phall_7.lif,1,11704779497,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_7.lif
240619_BZ33_day5A_crawl_phall_8.lif,1,12452298839,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_8.lif
240619_BZ33_day5A_crawl_phall_9.lif,1,7653881725,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_9.lif
240706_N2_day1A_2nd gen_swim_phall_1.lif,1,8126401323,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240706_N2_day1A_2nd gen_swim_phall_1.lif
240706_N2_day1A_2nd gen_swim_phall_2.lif,1,5786501107,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240706_N2_day1A_2nd gen_swim_phall_2.lif
