path,ext,size_bytes,mtime
\\SLB122E-01\Vidal-Gadea_lab\Adina\231115_Swim_F2_63x.lif,.lif,13641661037,2023-11-16
\\SLB122E-01\Vidal-Gadea_lab\Adina\231115_Swim_F2_WGA_phalloidin.lif,.lif,6543206869,2023-11-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\231116_Crawl_F2.lif,.lif,5038602939,2024-07-01
\\SLB122E-01\Vidal-Gadea_lab\Adina\231116_Swim_F2_63x.lif,.lif,7428495955,2023-11-16
\\SLB122E-01\Vidal-Gadea_lab\Adina\231205_BSC220.lif,.lif,772163953,2023-12-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\240126_AVG60_F2crawl.lif,.lif,3341743433,2024-01-26
\\SLB122E-01\Vidal-Gadea_lab\Adina\240204_N2_beautiful phalloidin muscle images.lif,.lif,1732327417,2024-02-04
\\SLB122E-01\Vidal-Gadea_lab\Adina\240204_N2_crawl_phalloidin and WGA.lif,.lif,856894361,2024-02-04
\\SLB122E-01\Vidal-Gadea_lab\Adina\240204_N2_crawl_phalloidin and WGA_Final.lif,.lif,17038558633,2024-02-04
\\SLB122E-01\Vidal-Gadea_lab\Adina\240220_N2_swim_F2_phalloidin_WGA.lif,.lif,12125793773,2024-02-20
\\SLB122E-01\Vidal-Gadea_lab\Adina\240220_N2_swim_F2_phalloidin_WGA_2.lif,.lif,4699705667,2024-02-20
\\SLB122E-01\Vidal-Gadea_lab\Adina\240221_AVG63_dys-1E+translational_VG04.lif,.lif,13399172450,2024-02-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\240221_AVG63_dys-1E+translational_VG04_2.lif,.lif,5489311532,2024-02-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\240222_N2_swim_F2_phalloidin_WGA_1.lif,.lif,12270350547,2024-02-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\240222_N2_swim_F2_phalloidin_WGA_2.lif,.lif,12926249641,2024-02-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\240222_N2_swim_F2_phalloidin_WGA_3.lif,.lif,8722516651,2024-02-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\240301_AVG60_RNAi_L4440.lif,.lif,3669238779,2024-03-01
\\SLB122E-01\Vidal-Gadea_lab\Adina\240301_AVG60_RNAi_pezo-1.lif,.lif,4693908647,2024-03-01
\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_AVG68_dys-1DJ+translational.lif,.lif,6552944417,2024-05-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_N2_day5Adult_phalloidin_1.lif,.lif,9935359270,2026-06-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_N2_day5Adult_phalloidin_2.lif,.lif,11297314936,2024-06-27
\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_N2_day5Adult_phalloidin_3.lif,.lif,7514136735,2024-03-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\240306_N2_day5Adult_phalloidin.lif,.lif,11176293402,2024-03-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\240311_Amsh isolation_Aalimah.lif,.lif,1134675487,2024-03-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\240312_AVG60_RNAi_pezo-1.lif,.lif,757810355,2024-03-12
\\SLB122E-01\Vidal-Gadea_lab\Adina\240312_AVG60_RNAi_pezo-1_from 240311.lif,.lif,1359415843,2024-03-12
\\SLB122E-01\Vidal-Gadea_lab\Adina\240314_AVG60_RNAi_pezo.lif,.lif,2815273709,2024-03-14
\\SLB122E-01\Vidal-Gadea_lab\Adina\240315_AVG60_RNAi_pezo-1.lif,.lif,4427430295,2024-03-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240318_magnetic beads_Nile red_test.lif,.lif,42941161,2024-03-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240319_N2_VG03_grown on DiI.lif,.lif,1439240555,2024-03-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240322_magnetic beads worm.lif,.lif,582367021,2024-04-16
\\SLB122E-01\Vidal-Gadea_lab\Adina\240509_AVG60_RNAi_pezo-1.lif,.lif,5310368903,2024-05-09
\\SLB122E-01\Vidal-Gadea_lab\Adina\240510_AVG72_Amsh-gfp_unc-47-mch.lif,.lif,4418193491,2024-05-10
\\SLB122E-01\Vidal-Gadea_lab\Adina\240514_AVG61_Ftn-1_mch-strange.lif,.lif,61418063,2024-05-14
